name,y1_points,y2_points,y3_points,y1_average,y2_average,y3_average,y1_games,y2_games,y3_games,y1_price,y2_price,y3_price
Aaron Gordon,2653.5,3416.0,2582.5,43.5,43.8,44.5,61.0,78.0,58.0,23.0,0.0,0.0
Aaron Holiday,1682.0,714.5,0.0,25.9,14.3,0.0,65.0,50.0,0.0,0.0,0.0,0.0
Abdel Nader,757.5,558.5,343.0,14.0,9.2,7.1,54.0,61.0,48.0,0.0,0.0,0.0
Adam Mokoka,78.5,0.0,0.0,7.1,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0
Admiral Schofield,222.5,0.0,0.0,7.2,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
Al Horford,2612.0,3056.0,3128.0,39.6,45.6,44.1,66.0,67.0,71.0,7.0,0.0,0.0
Al-Farouq Aminu,295.5,2339.0,2011.0,17.4,28.9,29.1,17.0,81.0,69.0,0.0,0.0,0.0
Alec Burks,2261.5,1427.0,1073.0,34.3,22.3,16.8,66.0,64.0,64.0,0.0,0.0,0.0
Alen Smailagic,156.0,0.0,0.0,11.1,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
Alex Caruso,1090.0,660.0,472.5,17.3,26.4,12.8,63.0,25.0,37.0,0.0,0.0,0.0
Alex Len,1397.5,2261.0,2055.5,25.9,29.4,29.8,54.0,77.0,69.0,1.0,0.0,0.0
Alfonzo McKinnie,481.5,945.0,41.5,12.0,13.3,3.0,40.0,71.0,14.0,0.0,0.0,0.0
Alize Johnson,140.5,54.0,0.0,8.3,3.9,0.0,17.0,14.0,0.0,0.0,0.0,0.0
Allen Crabbe,404.5,849.0,2103.0,10.9,19.7,28.0,37.0,43.0,75.0,0.0,0.0,0.0
Allonzo Trier,267.0,1433.0,0.0,12.1,22.4,0.0,22.0,64.0,0.0,0.0,0.0,0.0
Amile Jefferson,68.0,95.5,0.0,3.8,8.0,0.0,18.0,12.0,0.0,0.0,0.0,0.0
Amir Coffey,139.0,0.0,0.0,7.7,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,3538.5,5226.5,5007.0,64.3,66.2,64.2,55.0,79.0,78.0,113.0,0.0,0.0
Andre Iguodala,420.5,1659.0,1523.5,20.0,24.8,23.8,21.0,67.0,64.0,0.0,0.0,0.0
Andre Roberson,74.0,0.0,864.0,10.6,0.0,22.2,7.0,0.0,39.0,0.0,0.0,0.0
Andrew Wiggins,2509.5,2825.5,3035.0,48.3,38.7,37.0,52.0,73.0,82.0,32.0,0.0,0.0
Anfernee Simons,1162.5,130.5,0.0,17.1,6.5,0.0,68.0,20.0,0.0,0.0,0.0,0.0
Ante Zizic,276.5,1292.0,322.5,12.6,21.9,10.1,22.0,59.0,32.0,0.0,0.0,0.0
Anthony Davis,4276.5,4467.0,5892.5,71.3,79.8,78.6,60.0,56.0,75.0,176.0,0.0,0.0
Anthony Tolliver,584.0,795.5,1590.5,11.0,12.2,20.1,53.0,65.0,79.0,0.0,0.0,0.0
Antonius Cleveland,33.5,0.0,81.0,3.0,0.0,4.8,11.0,0.0,17.0,0.0,0.0,0.0
Anzejs Pasecniks,444.5,0.0,0.0,16.5,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
Aron Baynes,1158.5,974.0,1621.0,29.0,19.5,20.3,40.0,50.0,80.0,0.0,0.0,0.0
Austin Rivers,1367.5,1492.5,2091.0,20.4,19.6,34.3,67.0,76.0,61.0,0.0,0.0,0.0
Avery Bradley,896.5,1448.5,1250.5,19.1,23.0,27.2,47.0,63.0,46.0,0.0,0.0,0.0
BJ Johnson,58.5,46.0,0.0,5.8,6.6,0.0,10.0,7.0,0.0,0.0,0.0,0.0
Bam Adebayo,4126.0,2659.0,1640.5,58.1,32.4,23.8,71.0,82.0,69.0,23.0,0.0,0.0
Ben McLemore,1410.0,150.0,926.0,20.1,7.9,16.5,70.0,19.0,56.0,0.0,0.0,0.0
Ben Simmons,3490.5,4835.0,4983.5,62.3,62.0,61.5,56.0,78.0,81.0,105.0,0.0,0.0
Bismack Biyombo,1311.5,918.0,1803.0,25.2,17.0,22.0,52.0,54.0,82.0,0.0,0.0,0.0
Blake Griffin,579.5,4232.0,3103.5,32.2,56.4,53.5,18.0,75.0,58.0,51.0,0.0,0.0
